iter	Passed	Remaining
883	2275	298
884	2276	295
885	2277	293
886	2278	290
887	2280	287
888	2284	285
889	2286	282
890	2287	279
891	2289	277
892	2290	274
893	2292	271
894	2294	269
895	2298	266
896	2299	264
897	2300	261
898	2301	258
899	2302	255
900	2304	253
901	2305	250
902	2306	247
903	2308	245
904	2312	242
905	2313	240
906	2314	237
907	2315	234
908	2316	231
909	2318	229
910	2319	226
911	2320	223
912	2321	221
913	2322	218
914	2327	216
915	2328	213
916	2329	210
917	2330	208
918	2331	205
919	2332	202
920	2334	200
921	2335	197
922	2336	194
923	2337	192
924	2339	189
925	2340	187
926	2341	184
927	2342	181
928	2344	179
929	2345	176
930	2346	173
931	2347	171
932	2348	168
933	2352	166
934	2354	163
935	2355	161
936	2356	158
937	2357	155
938	2359	153
939	2361	150
940	2369	148
941	2372	146
942	2375	143
943	2377	141
944	2384	138
945	2388	136
946	2390	133
947	2393	131
948	2400	129
949	2402	126
950	2405	123
951	2407	121
952	2412	118
953	2415	116
954	2417	113
955	2420	111
956	2422	108
957	2426	106
958	2429	103
959	2431	101
960	2433	98
961	2436	96
962	2438	93
963	2441	91
964	2443	88
965	2446	86
966	2448	83
967	2450	81
968	2453	78
969	2456	75
970	2459	73
971	2462	70
972	2465	68
973	2467	65
974	2470	63
975	2472	60
976	2475	58
977	2477	55
978	2481	53
979	2484	50
980	2486	48
981	2489	45
982	2496	43
983	2499	40
984	2503	38
985	2513	35
986	2515	33
987	2518	30
988	2521	28
989	2526	25
990	2528	22
991	2531	20
992	2533	17
993	2535	15
994	2541	12
995	2543	10
996	2546	7
997	2548	5
998	2551	2
999	2553	0
